,V1,V2
1011,808,1002
1012,808,125
1013,809,739
1014,812,88
1015,812,1099
1016,812,768
1017,813,995
1018,814,643
1019,814,78
1020,815,938
1021,815,94
1022,818,1010
1023,818,378
1024,818,391
1025,818,290
1026,818,794
1027,819,435
1028,819,1109
1029,819,840
1030,820,849
1031,820,1076
1032,821,1082
1033,822,818
1034,823,949
1035,824,1088
1036,825,599
1037,826,978
1038,826,447
1039,826,632
1040,827,943
1041,827,884
1042,830,1004
1043,831,956
1044,831,477
1045,831,602
1046,832,1087
1047,832,788
1048,833,963
1049,833,874
1050,834,1063
1051,835,1070
1052,836,318
1053,838,791
1054,838,644
1055,839,840
1056,839,8
1057,839,435
1058,840,925
1059,840,1020
1060,841,872
1061,842,837
1062,842,1117
1063,842,823
1064,842,714
1065,844,445
1066,844,731
1067,847,734
1068,848,1090
1069,849,286
1070,849,617
1071,850,730
1072,851,281
1073,851,994
1074,853,307
1075,854,626
1076,854,86
1077,854,625
1078,855,563
1079,856,104
1080,857,701
1081,859,911
1082,860,161
1083,862,260
1084,862,106
1085,863,455
1086,863,83
1087,863,1111
1088,865,923
1089,865,364
1090,865,1101
1091,866,142
1092,867,1121
1093,867,418
1094,867,341
1095,868,62
1096,869,976
1097,870,47
1098,870,638
1099,871,179
1100,873,597
1101,875,275
1102,875,169
1103,875,911
1104,878,292
1105,882,45
1106,882,913
1107,884,569
1108,885,886
1109,888,1070
1110,888,294
1111,888,928
1112,888,824
1113,889,813
1114,890,1002
1115,891,469
1116,891,282
1117,892,341
1118,892,1034
1119,893,174
1120,893,1014
1121,895,897
1122,896,1126
1123,897,1085
1124,900,758
1125,900,943
1126,901,62
1127,902,218
1128,903,182
1129,906,199
1130,906,45
1131,907,116
1132,907,81
1133,907,784
1134,909,642
1135,909,864
1136,909,430
1137,909,844
1138,910,22
1139,910,42
1140,911,970
1141,911,959
1142,911,1050
1143,912,316
1144,912,910
1145,913,1001
1146,913,234
1147,913,207
1148,913,469
1149,915,235
1150,916,616
1151,916,765
1152,917,966
1153,917,1034
1154,919,496
1155,919,326
1156,919,190
1157,921,228
1158,922,649
1159,922,568
1160,922,894
1161,922,692
1162,923,691
1163,923,1025
1164,925,370
1165,927,1024
1166,927,169
1167,927,727
1168,927,604
1169,928,878
1170,930,41
1171,931,962
1172,931,287
1173,931,576
1174,932,1054
1175,933,37
1176,933,743
1177,933,578
1178,934,304
1179,934,486
1180,936,142
1181,936,1026
1182,939,1096
1183,939,907
1184,939,883
1185,939,404
1186,942,805
1187,943,582
1188,944,950
1189,944,96
1190,945,1020
1191,945,253
1192,945,973
1193,945,110
1194,947,535
1195,950,478
1196,952,1019
1197,952,354
1198,952,111
1199,954,594
1200,954,79
1201,954,707
1202,956,974
1203,956,410
1204,958,892
1205,958,248
1206,958,144
1207,958,1016
1208,960,659
1209,960,626
1210,963,674
1211,963,9
1212,963,421
1213,965,74
1214,967,1118
1215,968,98
1216,968,558
1217,968,678
1218,968,890
1219,971,120
1220,972,480
1221,973,85
1222,973,800
1223,975,702
1224,975,455
1225,977,413
1226,980,313
1227,981,18
1228,981,994
1229,981,447
1230,981,978
1231,982,26
1232,982,747
1233,982,809
1234,983,570
1235,984,1053
1236,985,696
1237,985,925
1238,985,1020
1239,986,1078
1240,987,537
1241,988,996
1242,988,305
1243,988,353
1244,989,160
1245,989,1099
1246,991,581
1247,991,487
1248,991,606
1249,991,1055
1250,992,224
1251,994,541
1252,996,88
1253,996,1118
1254,997,102
1255,997,785
1256,997,624
1257,997,368
1258,998,952
1259,999,1054
1260,999,49
1261,1001,749
1262,1001,779
1263,1004,642
1264,1006,90
1265,1006,809
1266,1006,993
1267,1006,213
1268,1009,582
1269,1009,187
1270,1009,843
1271,1010,92
1272,1012,904
1273,1012,250
1274,1013,20
1275,1013,628
1276,1015,235
1277,1016,445
1278,1017,786
1279,1017,912
1280,1018,351
1281,1018,133
1282,1020,1098
1283,1024,811
1284,1025,629
1285,1025,958
1286,1026,462
1287,1027,1003
1288,1028,907
1289,1030,921
1290,1030,573
1291,1030,970
1292,1031,627
1293,1034,153
1294,1035,241
1295,1035,629
1296,1037,195
1297,1037,466
1298,1037,188
1299,1039,730
1300,1039,215
1301,1039,207
1302,1040,860
1303,1040,240
1304,1040,759
1305,1043,1089
1306,1043,1079
1307,1043,968
1308,1044,1023
1309,1044,682
1310,1044,50
1311,1044,732
1312,1045,257
1313,1045,569
1314,1045,215
1315,1049,762
1316,1049,625
1317,1049,738
1318,1049,210
1319,1051,615
1320,1052,610
1321,1052,1001
1322,1052,743
1323,1054,1030
1324,1056,627
1325,1057,815
1326,1057,645
1327,1057,728
1328,1059,418
1329,1060,909
1330,1061,877
1331,1062,53
1332,1063,209
1333,1064,35
1334,1068,233
1335,1068,16
1336,1070,464
1337,1074,667
1338,1075,191
1339,1079,278
1340,1080,632
1341,1080,447
1342,1081,936
1343,1082,743
1344,1083,257
1345,1083,835
1346,1084,924
1347,1084,379
1348,1084,101
1349,1086,138
1350,1086,217
1351,1086,265
1352,1086,752
1353,1086,725
1354,1087,366
1355,1087,52
1356,1087,64
1357,1089,45
1358,1089,984
1359,1089,457
1360,1089,314
1361,1090,835
1362,1090,26
1363,1090,672
1364,1090,747
1365,1091,300
1366,1091,78
1367,1091,679
1368,1093,278
1369,1093,588
1370,1094,750
1371,1094,442
1372,1094,518
1373,1094,894
1374,1096,537
1375,1099,82
1376,1100,1030
1377,1100,1088
1378,1100,967
1379,1101,1090
1380,1102,596
1381,1102,471
1382,1102,347
1383,1102,689
1384,1103,715
1385,1103,311
1386,1105,8
1387,1105,847
1388,1107,845
1389,1108,1071
1390,1112,245
1391,1112,26
1392,1112,494
1393,1114,595
1394,1115,453
1395,1116,479
1396,1116,50
1397,1118,1088
1398,1118,967
1399,1120,143
1400,1121,484
1401,1121,1031
1402,1123,374
1403,1123,84
1404,1124,618
1405,1128,664
1406,1129,1113
1407,1129,570
1408,1130,852
1409,1131,1078
1410,1131,1073
1411,1133,552
1412,1133,1040
1413,1133,557
1414,1133,1125
1415,1133,828
1416,1134,511
1417,1134,304
1418,1134,853
1419,1134,416
1420,1137,709
1421,1137,708
1422,1137,333
1423,1137,569
1424,1138,606
1425,1138,134
1426,1139,378
1427,1139,391
1428,1139,180
1429,1139,1010
1430,1140,821
1431,1140,710
1432,1141,947
1433,1144,966
1434,1144,1015
1435,1144,675
1436,1144,860
1437,1144,829
1438,1145,1111
1439,1145,83
1440,1146,743
1441,1146,210
1442,1147,688
1443,1150,1081
1444,1150,270
1445,1150,376
1446,1150,986
1447,1152,1119
1448,1154,200
1449,1156,350
1450,1158,659
1451,1160,337
1452,1160,198
1453,1161,32
1454,1161,303
1455,1162,1026
1456,1164,913
1457,1164,30
1458,1165,201
1459,1165,1126
1460,1165,441
1461,1165,550
1462,1167,497
1463,1169,721
1464,1172,655
1465,1172,39
1466,1172,737
1467,1173,107
1468,1174,619
1469,1176,149
1470,1176,7
1471,1176,11
1472,1176,627
1473,1176,163
1474,1177,866
1475,1178,512
1476,1178,720
1477,1179,93
1478,1179,550
1479,1179,1091
1480,1179,834
1481,1180,82
1482,1180,659
1483,1180,617
1484,1182,548
1485,1182,255
1486,1183,844
1487,1184,1064
1488,1186,177
1489,1186,530
1490,1186,862
1491,1187,858
1492,1187,896
1493,1188,225
1494,1189,238
1495,1190,756
1496,1190,535
1497,1190,511
1498,1191,150
1499,1192,880
1500,1193,566
1501,1194,373
1502,1194,685
1503,1194,826
1504,1194,17
1505,1194,56
1506,1197,1033
1507,1198,460
1508,1198,262
1509,1200,253
1510,1202,473
1511,1203,168
1512,1203,393
1513,1203,1084
1514,1203,227
1515,1204,842
1516,1205,1055
1517,1205,876
1518,1205,606
1519,1206,451
1520,1206,302
1521,1206,993
1522,1207,806
1523,1207,739
1524,1208,156
1525,1209,976
1526,1209,44
1527,1210,207
1528,1211,951
1529,1211,760
1530,1212,307
1531,1212,789
1532,1213,469
1533,1213,1001
1534,1215,635
1535,1215,856
1536,1215,293
1537,1218,905
1538,1221,902
1539,1221,727
1540,1222,456
1541,1222,509
