,V1,V2
1214,384,1069
1215,384,302
1216,384,626
1217,385,385
1218,385,594
1219,385,155
1220,386,386
1221,386,1085
1222,386,551
1223,386,918
1224,387,387
1225,387,815
1226,387,234
1227,388,388
1228,388,1120
1229,388,253
1230,388,696
1231,388,973
1232,389,389
1233,389,679
1234,389,953
1235,389,392
1236,390,390
1237,390,510
1238,390,607
1239,390,820
1240,391,391
1241,391,1010
1242,391,180
1243,391,378
1244,391,794
1245,392,392
1246,392,1100
1247,392,389
1248,393,393
1249,393,103
1250,394,394
1251,394,785
1252,394,490
1253,394,1037
1254,394,454
1255,395,395
1256,395,771
1257,395,77
1258,395,289
1259,395,1082
1260,396,396
1261,396,495
1262,396,809
1263,396,727
1264,397,397
1265,397,857
1266,398,398
1267,398,382
1268,398,327
1269,399,399
1270,399,498
1271,399,891
1272,399,865
1273,400,400
1274,400,468
1275,400,906
1276,400,266
1277,401,401
1278,401,317
1279,402,402
1280,402,889
1281,403,403
1282,403,280
1283,403,628
1284,404,404
1285,404,907
1286,404,64
1287,404,1018
1288,405,405
1289,405,681
1290,405,983
1291,406,406
1292,406,318
1293,406,1121
1294,406,341
1295,407,407
1296,407,130
1297,407,743
1298,408,408
1299,408,848
1300,409,409
1301,409,121
1302,409,356
1303,410,410
1304,410,766
1305,410,230
1306,410,974
1307,410,781
1308,411,411
1309,412,412
1310,412,837
1311,412,1117
1312,413,413
1313,414,414
1314,414,176
1315,414,70
1316,414,519
1317,414,164
1318,415,415
1319,415,423
1320,415,782
1321,416,416
1322,416,756
1323,416,853
1324,417,417
1325,418,418
1326,418,1069
1327,418,341
1328,418,727
1329,419,419
1330,420,420
1331,420,780
1332,421,421
1333,421,472
1334,421,546
1335,421,522
1336,421,95
1337,422,422
1338,422,768
1339,422,615
1340,422,370
1341,422,500
1342,423,423
1343,423,415
1344,423,782
1345,423,458
1346,424,424
1347,425,425
1348,425,370
1349,426,426
1350,427,427
1351,427,432
1352,428,428
1353,428,328
1354,429,429
1355,429,246
1356,429,479
1357,429,692
1358,429,1090
1359,430,430
1360,430,529
1361,430,844
1362,430,49
1363,431,431
1364,432,432
1365,432,427
1366,433,433
1367,433,691
1368,433,27
1369,434,434
1370,435,435
1371,435,68
1372,435,1109
1373,435,840
1374,435,101
1375,436,436
1376,437,437
1377,438,438
1378,438,613
1379,438,728
1380,438,495
1381,439,439
1382,439,822
1383,440,440
1384,440,760
1385,440,27
1386,441,441
1387,441,201
1388,442,442
1389,442,563
1390,443,443
1391,444,444
1392,444,711
1393,444,427
1394,444,456
1395,444,1092
1396,445,445
1397,445,374
1398,445,699
1399,445,990
1400,445,358
1401,446,446
1402,446,484
1403,446,67
1404,447,447
1405,447,18
1406,447,632
1407,447,34
1408,448,448
1409,448,1087
1410,449,449
1411,449,72
1412,449,755
1413,450,450
1414,451,451
1415,451,401
1416,452,452
1417,452,113
1418,452,514
1419,452,76
1420,453,453
1421,454,454
1422,454,490
1423,454,1037
1424,454,102
1425,454,394
1426,455,455
1427,455,83
1428,455,1035
1429,455,702
1430,455,1111
1431,456,456
1432,456,757
1433,456,579
1434,457,457
1435,457,556
1436,458,458
1437,458,782
1438,458,803
1439,458,232
1440,458,423
1441,459,459
1442,459,226
1443,459,669
1444,460,460
1445,460,466
1446,461,461
1447,461,549
1448,461,746
1449,461,64
1450,462,462
1451,463,463
1452,463,173
1453,464,464
1454,464,218
1455,465,465
1456,465,537
1457,466,466
1458,466,195
1459,466,460
1460,466,188
1461,467,467
1462,467,264
1463,467,89
1464,468,468
1465,468,400
1466,468,163
1467,469,469
1468,469,829
1469,469,1094
1470,470,470
1471,470,291
1472,470,748
1473,471,471
1474,471,567
1475,471,371
1476,472,472
1477,472,421
1478,472,546
1479,472,780
1480,472,95
1481,473,473
1482,473,376
1483,473,501
1484,473,630
1485,474,474
1486,474,67
1487,474,219
1488,475,475
1489,475,24
1490,475,1068
1491,476,476
1492,476,1073
1493,477,477
1494,477,956
1495,477,231
1496,478,478
1497,478,170
1498,478,912
1499,479,479
1500,479,429
1501,479,69
1502,480,480
1503,480,654
1504,480,648
1505,480,38
1506,480,132
1507,481,481
1508,481,618
1509,481,268
1510,482,482
1511,482,980
1512,483,483
1513,484,484
1514,484,446
1515,484,827
1516,484,1031
1517,484,11
1518,485,485
1519,485,273
1520,486,486
1521,486,155
1522,486,707
1523,486,316
1524,487,487
1525,487,137
1526,487,1055
1527,488,488
1528,488,308
1529,489,489
1530,489,556
1531,489,591
1532,490,490
1533,490,454
1534,490,394
1535,490,1037
1536,490,102
1537,491,491
1538,491,250
1539,491,202
1540,492,492
1541,492,501
1542,492,22
1543,492,880
1544,493,493
1545,493,368
1546,494,494
1547,494,26
1548,494,672
1549,495,495
1550,495,396
1551,495,580
1552,495,438
1553,495,1000
1554,496,496
1555,496,326
1556,496,52
1557,497,497
1558,497,379
1559,498,498
1560,499,499
1561,499,673
1562,499,100
1563,500,500
1564,500,768
1565,500,615
1566,500,422
1567,501,501
1568,501,492
1569,501,237
1570,501,473
1571,501,992
1572,502,502
1573,502,263
1574,502,1059
1575,503,503
1576,504,504
1577,505,505
1578,505,150
1579,506,506
1580,507,507
1581,507,777
1582,507,697
1583,507,735
1584,508,508
1585,508,1075
1586,508,731
1587,509,509
1588,509,711
1589,509,33
1590,509,687
1591,510,510
1592,510,1045
1593,510,390
1594,511,511
1595,512,512
1596,512,34
1597,513,513
1598,513,349
1599,513,680
1600,513,220
1601,514,514
1602,514,548
1603,514,452
1604,515,515
1605,516,516
1606,516,1083
1607,516,57
1608,517,517
1609,517,1077
1610,517,221
1611,518,518
1612,518,297
1613,519,519
1614,519,414
1615,520,520
1616,520,524
1617,520,45
1618,521,521
1619,522,522
1620,522,763
1621,522,284
1622,522,421
1623,522,1046
1624,523,523
1625,524,524
1626,524,520
1627,524,177
1628,524,530
1629,525,525
1630,525,772
1631,525,968
1632,525,754
1633,526,526
1634,526,974
1635,527,527
1636,528,528
1637,528,113
1638,528,689
1639,529,529
1640,529,755
1641,529,430
1642,530,530
1643,530,524
1644,531,531
1645,531,1032
1646,531,284
1647,531,1046
1648,531,989
1649,532,532
1650,532,262
1651,532,749
1652,533,533
1653,533,646
1654,533,254
1655,534,534
1656,534,120
1657,535,535
1658,536,536
1659,537,537
1660,537,465
1661,538,538
1662,539,539
1663,539,810
1664,539,855
1665,539,1070
1666,539,824
1667,540,540
1668,540,925
1669,540,696
1670,541,541
1671,542,542
1672,542,585
1673,543,543
1674,543,326
1675,543,549
1676,543,62
1677,544,544
1678,544,154
1679,544,1021
1680,545,545
1681,545,319
1682,545,864
1683,545,59
1684,545,635
1685,546,546
1686,546,472
1687,546,421
1688,546,111
1689,546,95
1690,547,547
1691,548,548
1692,548,514
1693,549,549
1694,549,461
1695,549,601
1696,549,543
1697,549,326
1698,550,550
1699,550,1126
1700,550,93
1701,550,204
1702,550,1091
1703,551,551
1704,551,386
1705,551,825
1706,552,552
1707,552,1040
1708,552,1125
1709,553,553
1710,553,967
1711,553,1001
1712,554,554
1713,554,340
1714,554,1030
1715,554,210
1716,555,555
1717,556,556
1718,556,489
1719,556,42
1720,556,457
1721,556,913
1722,557,557
1723,557,758
1724,557,1040
1725,557,1114
1726,557,828
1727,558,558
1728,558,98
1729,558,890
1730,558,921
1731,558,792
1732,559,559
1733,559,476
1734,559,1073
1735,560,560
1736,561,561
1737,562,562
1738,562,712
1739,562,183
1740,562,996
1741,562,353
1742,563,563
1743,563,442
1744,564,564
1745,564,625
1746,565,565
1747,565,770
1748,565,31
1749,566,566
1750,566,929
1751,566,636
1752,566,51
1753,566,119
1754,567,567
1755,567,471
1756,567,226
1757,567,596
1758,568,568
1759,568,344
1760,568,715
1761,569,569
1762,570,570
1763,570,849
1764,571,571
1765,571,1102
1766,572,572
1767,573,573
1768,573,158
1769,573,677
1770,574,574
1771,574,100
1772,574,673
1773,575,575
1774,575,201
1775,575,97
1776,575,690
1777,576,576
1778,576,603
1779,576,222
1780,576,962
1781,576,287
1782,577,577
1783,577,156
1784,578,578
1785,578,1001
1786,578,610
1787,578,282
1788,578,1088
1789,579,579
1790,579,456
1791,579,750
1792,579,226
1793,580,580
1794,580,495
1795,581,581
1796,581,1055
1797,581,134
1798,581,186
1799,581,606
1800,582,582
1801,582,831
1802,582,902
1803,583,583
1804,583,835
1805,584,584
1806,585,585
1807,585,542
1808,585,990
1809,586,586
1810,586,1101
1811,587,587
1812,587,701
1813,588,588
1814,588,381
1815,588,687
1816,589,589
1817,589,14
1818,589,1031
1819,589,11
1820,590,590
1821,591,591
1822,591,45
1823,591,489
1824,591,314
1825,592,592
1826,592,1013
1827,592,106
1828,593,593
1829,593,982
1830,593,997
1831,593,719
1832,593,349
1833,594,594
1834,594,385
1835,594,935
1836,594,79
1837,595,595
1838,595,205
1839,596,596
1840,596,212
1841,596,689
1842,596,567
1843,596,113
1844,597,597
1845,597,1078
1846,597,708
1847,598,598
1848,598,923
1849,599,599
1850,600,600
1851,600,783
1852,600,1005
1853,600,260
1854,601,601
1855,601,212
1856,601,949
1857,601,549
1858,602,602
1859,602,992
1860,602,237
1861,603,603
1862,603,576
1863,603,634
1864,603,222
1865,603,962
1866,604,604
1867,604,169
1868,605,605
1869,605,887
1870,605,359
1871,605,55
1872,605,1112
1873,606,606
1874,606,116
1875,606,383
1876,606,137
1877,606,581
1878,607,607
1879,607,901
1880,607,390
1881,607,1022
1882,608,608
1883,609,609
1884,610,610
1885,610,1001
1886,610,578
1887,610,688
1888,611,611
1889,611,695
1890,612,612
1891,613,613
1892,613,438
1893,613,1030
1894,613,200
1895,614,614
1896,615,615
1897,615,1118
1898,615,422
1899,615,500
1900,615,1099
1901,616,616
1902,617,617
1903,617,82
1904,618,618
1905,618,481
1906,619,619
1907,619,65
1908,619,23
1909,620,620
1910,621,621
1911,621,1083
1912,621,698
1913,621,516
1914,622,622
1915,622,900
1916,623,623
1917,623,709
1918,623,762
1919,623,215
1920,624,624
1921,624,102
1922,624,785
1923,625,625
1924,625,564
1925,625,86
1926,625,210
1927,625,181
1928,626,626
1929,626,302
1930,626,86
1931,626,695
1932,626,384
1933,627,627
1934,627,365
1935,628,628
1936,628,403
1937,628,20
1938,629,629
1939,629,958
1940,629,971
1941,629,157
1942,630,630
1943,630,1081
1944,630,270
1945,630,376
1946,630,473
1947,631,631
1948,632,632
1949,632,345
1950,632,46
1951,632,633
1952,632,447
1953,633,633
1954,633,345
1955,633,632
1956,634,634
1957,634,603
1958,634,222
1959,634,962
1960,635,635
1961,635,856
1962,635,293
1963,635,545
1964,636,636
1965,636,926
1966,636,566
1967,637,637
1968,637,819
1969,638,638
1970,638,47
